0,1,2,3
Assassin's Creed II,8.6,2009,Ubisoft Entertainment Inc.
NieR: Automata,8.6,2017,Platinum Games Inc.
Atari 50: The Anniversary Celebration,8.6,2022,Digital Eclipse Entertainment Partners Co.
Horizon II: Forbidden West,8.6,2022,Guerrilla B.V.
NHL 09,8.6,2008,Electronic Arts Canada
Sea of Stars,8.6,2023,Sabotage Studio Inc.
StarCraft: Anthology,8.6,1999,
Shovel Knight,8.6,2014,"Yacht Club Games, LLC"
Tom Clancy's The Division 2,8.6,2019,Massive Entertainment AB
Shin Megami Tensei: Persona 4,8.6,2008,"Atlus Co., Ltd."
Burnout: Revenge,8.6,2005,Criterion Software Ltd.
The Legend of Zelda: Link's Awakening DX,8.6,1998,Nintendo EAD
NBA 2K12,8.6,2011,2K China
Metal Gear Solid 2: Sons of Liberty,8.6,2001,"Konami Computer Entertainment Japan, Inc."
Flower,8.6,2009,"thatgamecompany, LLC"
Day of the Tentacle: Remastered,8.6,2016,"Double Fine Productions, Inc."
Mass Effect,8.6,2007,BioWare Edmonton
Dwarf Fortress,8.6,2022,Bay 12 Games
Total War: Warhammer III,8.6,2022,"Creative Assembly Ltd., The"
Mario & Luigi: Bowser's Inside Story,8.6,2009,"AlphaDream Corporation, Ltd."
Sonic CD,8.6,2011,SEGA Enterprises Ltd.
Vagrant Story,8.6,2000,"Square Co., Ltd."
Return to Monkey Island,8.6,2022,Bada Games
Diablo III: Reaper of Souls - Ultimate Evil Editio...,8.6,2014,Blizzard Entertainment Inc.
SSX 3,8.6,2003,Electronic Arts Canada
Cuphead,8.6,2017,StudioMDHR Entertainment Inc.
Tekken: Dark Resurrection,8.6,2006,Namco Limited
Super Mario Maker 2,8.6,2019,Nintendo EPD
Returnal,8.6,2021,Housemarque Ltd.
Dark Souls: Remastered,8.6,2018,"FromSoftware, Inc."
Super Mario World 2: Yoshi's Island,8.6,1995,"Nintendo Co., Ltd."
Thief: Gold,8.6,1999,"Looking Glass Studios, Inc."
Immortality,8.6,2022,Half Mermaid Productions
Sly 2: Band of Thieves,8.6,2004,Sucker Punch Productions LLC
The Legend of Zelda: The Minish Cap,8.6,2004,"Capcom Co., Ltd."
Rocksmith: All-new 2014 Edition,8.6,2013,"Ubisoft, Inc."
Metroid Prime 2: Echoes,8.6,2004,Retro Studios Inc.
Yakuza 0,8.6,2015,Ryu ga Gotoku Studio
Pizza Tower,8.6,2023,Tour De Pizza
Horizon: Zero Dawn,8.6,2017,Guerrilla B.V.
Assassin's Creed: Brotherhood,8.6,2010,Ubisoft Entertainment Inc.
Forza Horizon 3,8.6,2016,Playground Games Ltd
Guacamelee! Super Turbo Championship Edition,8.6,2014,DrinkBox Studios Inc.
Mario + Rabbids: Sparks of Hope,8.6,2022,Ubisoft Paris Studios SARL
Real Racing 2,8.6,2010,Firemint Pty Ltd.
Empire: Total War,8.5,2009,"Creative Assembly Ltd., The"
Resistance 2,8.5,2008,"Insomniac Games, Inc."
CTR: Crash Team Racing,8.5,1999,"Naughty Dog, Inc."
Sonic The Hedgehog Pocket Adventure,8.5,1999,SNK Corporation
StarCraft II: Wings of Liberty (Collector's Editio...,8.5,2010,
Ridiculous Fishing,8.5,2013,Vlambeer
Half-Life 2: Episode Two,8.5,2007,Valve Corporation
Dragon Quest XI S: Echoes of an Elusive Age - Defi...,8.5,2019,"Square Enix Co., Ltd."
Fight Night Round 4,8.5,2009,Electronic Arts Canada
Age of Mythology,8.5,2002,Ensemble Studios Corporation
The Elder Scrolls IV: Oblivion,8.5,2006,Bethesda Game Studios
Pizza Tower,8.6,2023,Tour De Pizza
Horizon: Zero Dawn,8.6,2017,Guerrilla B.V.
Assassin's Creed: Brotherhood,8.6,2010,Ubisoft Entertainment Inc.
Forza Horizon 3,8.6,2016,Playground Games Ltd
Guacamelee! Super Turbo Championship Edition,8.6,2014,DrinkBox Studios Inc.
Mario + Rabbids: Sparks of Hope,8.6,2022,Ubisoft Paris Studios SARL
Real Racing 2,8.6,2010,Firemint Pty Ltd.
Empire: Total War,8.5,2009,"Creative Assembly Ltd., The"
Resistance 2,8.5,2008,"Insomniac Games, Inc."
CTR: Crash Team Racing,8.5,1999,"Naughty Dog, Inc."
Sonic The Hedgehog Pocket Adventure,8.5,1999,SNK Corporation
StarCraft II: Wings of Liberty (Collector's Editio...,8.5,2010,
Ridiculous Fishing,8.5,2013,Vlambeer
Half-Life 2: Episode Two,8.5,2007,Valve Corporation
Dragon Quest XI S: Echoes of an Elusive Age - Defi...,8.5,2019,"Square Enix Co., Ltd."
Fight Night Round 4,8.5,2009,Electronic Arts Canada
Age of Mythology,8.5,2002,Ensemble Studios Corporation
The Elder Scrolls IV: Oblivion,8.5,2006,Bethesda Game Studios
Pizza Tower,8.6,2023,Tour De Pizza
Horizon: Zero Dawn,8.6,2017,Guerrilla B.V.
